region,category,parent,n_descendants,inclusive_query,exclusive_query,inclusive_count,exclusive_count,inclusive_url,exclusive_url,query_date,log10_inclusive_count_p1,norm_inclusive_count,log10_exclusive_count_p1,norm_exclusive_count
prefrontal cortex,frontal cortex,frontal cortex,4,"((""prefrontal cortex""[tiab] OR (""PFC""[tiab] AND (prefrontal[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])","(((""prefrontal cortex""[tiab] OR (""PFC""[tiab] AND (prefrontal[tiab])))) NOT ((""orbitofrontal cortex""[tiab] OR ""orbital frontal cortex""[tiab]) OR (""ventromedial prefrontal cortex""[tiab] OR (""vmPFC""[tiab] AND (prefrontal[tiab])) OR (""VMPFC""[tiab] AND (prefrontal[tiab]))) OR (""dorsolateral prefrontal cortex""[tiab] OR (""dlPFC""[tiab] AND (prefrontal[tiab])) OR (""DLPFC""[tiab] AND (prefrontal[tiab]))) OR (""medial prefrontal cortex""[tiab] OR (""mPFC""[tiab] AND (prefrontal[tiab]))))) AND (""2015""[PDAT] : ""2025""[PDAT])",37338,18339,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22prefrontal+cortex%22%5Btiab%5D+OR+%28%22PFC%22%5Btiab%5D+AND+%28prefrontal%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%28%22prefrontal+cortex%22%5Btiab%5D+OR+%28%22PFC%22%5Btiab%5D+AND+%28prefrontal%5Btiab%5D%29%29%29%29+NOT+%28%28%22orbitofrontal+cortex%22%5Btiab%5D+OR+%22orbital+frontal+cortex%22%5Btiab%5D%29+OR+%28%22ventromedial+prefrontal+cortex%22%5Btiab%5D+OR+%28%22vmPFC%22%5Btiab%5D+AND+%28prefrontal%5Btiab%5D%29%29+OR+%28%22VMPFC%22%5Btiab%5D+AND+%28prefrontal%5Btiab%5D%29%29%29+OR+%28%22dorsolateral+prefrontal+cortex%22%5Btiab%5D+OR+%28%22dlPFC%22%5Btiab%5D+AND+%28prefrontal%5Btiab%5D%29%29+OR+%28%22DLPFC%22%5Btiab%5D+AND+%28prefrontal%5Btiab%5D%29%29%29+OR+%28%22medial+prefrontal+cortex%22%5Btiab%5D+OR+%28%22mPFC%22%5Btiab%5D+AND+%28prefrontal%5Btiab%5D%29%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,4.5722,0.9206,4.2634,0.8446
medial prefrontal cortex,frontal cortex,prefrontal cortex,0,"((""medial prefrontal cortex""[tiab] OR (""mPFC""[tiab] AND (prefrontal[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])","((""medial prefrontal cortex""[tiab] OR (""mPFC""[tiab] AND (prefrontal[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])",8704,8704,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22medial+prefrontal+cortex%22%5Btiab%5D+OR+%28%22mPFC%22%5Btiab%5D+AND+%28prefrontal%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22medial+prefrontal+cortex%22%5Btiab%5D+OR+%28%22mPFC%22%5Btiab%5D+AND+%28prefrontal%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.9398,0.7218,3.9398,0.7403
dorsolateral prefrontal cortex,frontal cortex,prefrontal cortex,0,"((""dorsolateral prefrontal cortex""[tiab] OR (""dlPFC""[tiab] AND (prefrontal[tiab])) OR (""DLPFC""[tiab] AND (prefrontal[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])","((""dorsolateral prefrontal cortex""[tiab] OR (""dlPFC""[tiab] AND (prefrontal[tiab])) OR (""DLPFC""[tiab] AND (prefrontal[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])",8667,8667,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22dorsolateral+prefrontal+cortex%22%5Btiab%5D+OR+%28%22dlPFC%22%5Btiab%5D+AND+%28prefrontal%5Btiab%5D%29%29+OR+%28%22DLPFC%22%5Btiab%5D+AND+%28prefrontal%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22dorsolateral+prefrontal+cortex%22%5Btiab%5D+OR+%28%22dlPFC%22%5Btiab%5D+AND+%28prefrontal%5Btiab%5D%29%29+OR+%28%22DLPFC%22%5Btiab%5D+AND+%28prefrontal%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.9379,0.7212,3.9379,0.7397
ventromedial prefrontal cortex,frontal cortex,prefrontal cortex,0,"((""ventromedial prefrontal cortex""[tiab] OR (""vmPFC""[tiab] AND (prefrontal[tiab])) OR (""VMPFC""[tiab] AND (prefrontal[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])","((""ventromedial prefrontal cortex""[tiab] OR (""vmPFC""[tiab] AND (prefrontal[tiab])) OR (""VMPFC""[tiab] AND (prefrontal[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])",2324,2324,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22ventromedial+prefrontal+cortex%22%5Btiab%5D+OR+%28%22vmPFC%22%5Btiab%5D+AND+%28prefrontal%5Btiab%5D%29%29+OR+%28%22VMPFC%22%5Btiab%5D+AND+%28prefrontal%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22ventromedial+prefrontal+cortex%22%5Btiab%5D+OR+%28%22vmPFC%22%5Btiab%5D+AND+%28prefrontal%5Btiab%5D%29%29+OR+%28%22VMPFC%22%5Btiab%5D+AND+%28prefrontal%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.3664,0.5416,3.3664,0.5555
orbitofrontal cortex,frontal cortex,prefrontal cortex,0,"((""orbitofrontal cortex""[tiab] OR ""orbital frontal cortex""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""orbitofrontal cortex""[tiab] OR ""orbital frontal cortex""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",5065,5065,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22orbitofrontal+cortex%22%5Btiab%5D+OR+%22orbital+frontal+cortex%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22orbitofrontal+cortex%22%5Btiab%5D+OR+%22orbital+frontal+cortex%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.7047,0.6479,3.7047,0.6645
frontal cortex,frontal cortex,,8,"((""frontal cortex""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","(((""frontal cortex""[tiab])) NOT ((""motor cortex""[tiab] OR ""primary motor cortex""[tiab]) OR (""supplementary motor area""[tiab]) OR (""premotor cortex""[tiab]) OR (""prefrontal cortex""[tiab] OR (""PFC""[tiab] AND (prefrontal[tiab]))) OR (""orbitofrontal cortex""[tiab] OR ""orbital frontal cortex""[tiab]) OR (""ventromedial prefrontal cortex""[tiab] OR (""vmPFC""[tiab] AND (prefrontal[tiab])) OR (""VMPFC""[tiab] AND (prefrontal[tiab]))) OR (""dorsolateral prefrontal cortex""[tiab] OR (""dlPFC""[tiab] AND (prefrontal[tiab])) OR (""DLPFC""[tiab] AND (prefrontal[tiab]))) OR (""medial prefrontal cortex""[tiab] OR (""mPFC""[tiab] AND (prefrontal[tiab]))))) AND (""2015""[PDAT] : ""2025""[PDAT])",8306,6294,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22frontal+cortex%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%28%22frontal+cortex%22%5Btiab%5D%29%29+NOT+%28%28%22motor+cortex%22%5Btiab%5D+OR+%22primary+motor+cortex%22%5Btiab%5D%29+OR+%28%22supplementary+motor+area%22%5Btiab%5D%29+OR+%28%22premotor+cortex%22%5Btiab%5D%29+OR+%28%22prefrontal+cortex%22%5Btiab%5D+OR+%28%22PFC%22%5Btiab%5D+AND+%28prefrontal%5Btiab%5D%29%29%29+OR+%28%22orbitofrontal+cortex%22%5Btiab%5D+OR+%22orbital+frontal+cortex%22%5Btiab%5D%29+OR+%28%22ventromedial+prefrontal+cortex%22%5Btiab%5D+OR+%28%22vmPFC%22%5Btiab%5D+AND+%28prefrontal%5Btiab%5D%29%29+OR+%28%22VMPFC%22%5Btiab%5D+AND+%28prefrontal%5Btiab%5D%29%29%29+OR+%28%22dorsolateral+prefrontal+cortex%22%5Btiab%5D+OR+%28%22dlPFC%22%5Btiab%5D+AND+%28prefrontal%5Btiab%5D%29%29+OR+%28%22DLPFC%22%5Btiab%5D+AND+%28prefrontal%5Btiab%5D%29%29%29+OR+%28%22medial+prefrontal+cortex%22%5Btiab%5D+OR+%28%22mPFC%22%5Btiab%5D+AND+%28prefrontal%5Btiab%5D%29%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.9194,0.7154,3.799,0.6949
motor cortex,frontal cortex,frontal cortex,2,"((""motor cortex""[tiab] OR ""primary motor cortex""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","(((""motor cortex""[tiab] OR ""primary motor cortex""[tiab])) NOT ((""supplementary motor area""[tiab]) OR (""premotor cortex""[tiab]))) AND (""2015""[PDAT] : ""2025""[PDAT])",12005,10939,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22motor+cortex%22%5Btiab%5D+OR+%22primary+motor+cortex%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%28%22motor+cortex%22%5Btiab%5D+OR+%22primary+motor+cortex%22%5Btiab%5D%29%29+NOT+%28%28%22supplementary+motor+area%22%5Btiab%5D%29+OR+%28%22premotor+cortex%22%5Btiab%5D%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,4.0794,0.7657,4.039,0.7723
premotor cortex,frontal cortex,motor cortex,0,"((""premotor cortex""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""premotor cortex""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",1829,1829,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22premotor+cortex%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22premotor+cortex%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.2625,0.5089,3.2625,0.5219
supplementary motor area,frontal cortex,motor cortex,0,"((""supplementary motor area""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""supplementary motor area""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",3232,3232,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22supplementary+motor+area%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22supplementary+motor+area%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.5096,0.5866,3.5096,0.6016
somatosensory cortex,sensory cortex,,0,"((""somatosensory cortex""[tiab] OR ""primary somatosensory cortex""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""somatosensory cortex""[tiab] OR ""primary somatosensory cortex""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",4371,4371,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22somatosensory+cortex%22%5Btiab%5D+OR+%22primary+somatosensory+cortex%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22somatosensory+cortex%22%5Btiab%5D+OR+%22primary+somatosensory+cortex%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.6407,0.6278,3.6407,0.6439
